"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1024","adminCanCreateUserWithInvalidDataTest(String, String, UserRole, String, List) [4] username=abc%, password=Password33$, role=USER, errorKey=username, errorValues=[Username must contain only letters, digits, dashes, underscores, and dots]","","Sat May 23 19:34:53 UTC 2026","passed","Sat May 23 19:34:54 UTC 2026","","iteration1.api.CreateUserTest","iteration1.api.CreateUserTest","adminCanCreateUserWithInvalidDataTest"
"","3573","AuthUserCanUpdateProfileNameTest()","","Sat May 23 19:34:56 UTC 2026","passed","Sat May 23 19:34:59 UTC 2026","","iteration2.api.UpdateProfileTest","iteration2.api.UpdateProfileTest","AuthUserCanUpdateProfileNameTest"
"","0","userCanDepositInvalidMoneyToHisOwnAccountTestV1(double, String)","","Sat May 23 19:35:02 UTC 2026","skipped","Sat May 23 19:35:02 UTC 2026","","iteration2.ui.TransferAccountTest","iteration2.ui.TransferAccountTest","userCanDepositInvalidMoneyToHisOwnAccountTestV1"
"","12318","userCanCreateAccountTest()","","Sat May 23 19:34:57 UTC 2026","passed","Sat May 23 19:35:10 UTC 2026","","iteration1.ui.CreateAccountTest","iteration1.ui.CreateAccountTest","userCanCreateAccountTest"
"","10634","AuthUserCanTransferMoneyToNotHisAccountTest()","","Sat May 23 19:35:04 UTC 2026","passed","Sat May 23 19:35:15 UTC 2026","","iteration2.api.TransferAccountTest","iteration2.api.TransferAccountTest","AuthUserCanTransferMoneyToNotHisAccountTest"
"","5768","userCanDepositMoneyToHisOwnAccountTest()","","Sat May 23 19:34:45 UTC 2026","passed","Sat May 23 19:34:51 UTC 2026","","iteration2.api.DepositAccountTest","iteration2.api.DepositAccountTest","userCanDepositMoneyToHisOwnAccountTest"
"","6974","AuthUserCannotTransferMoneyMoreThenExistTest()","","Sat May 23 19:35:03 UTC 2026","passed","Sat May 23 19:35:10 UTC 2026","","iteration2.api.TransferAccountTest","iteration2.api.TransferAccountTest","AuthUserCannotTransferMoneyMoreThenExistTest"
"","5703","userCanDepositInvalidMoneyToHisOwnAccountTestV2(double, String) Deposit 5000.001 should return error: Deposit amount exceeds the 5000 limit","","Sat May 23 19:34:46 UTC 2026","passed","Sat May 23 19:34:52 UTC 2026","","iteration2.api.DepositAccountTest","iteration2.api.DepositAccountTest","userCanDepositInvalidMoneyToHisOwnAccountTestV2"
"","3306","userCannotDepositMoneyToNotExistedAccountTest()","","Sat May 23 19:34:43 UTC 2026","passed","Sat May 23 19:34:46 UTC 2026","","iteration2.api.DepositAccountTest","iteration2.api.DepositAccountTest","userCannotDepositMoneyToNotExistedAccountTest"
"","2785","adminCanCreateUserWithInvalidDataTest(String, String, UserRole, String, List) [1] username=   , password=Password33$, role=USER, errorKey=username, errorValues=[Username cannot be blank, Username must contain only letters, digits, dashes, underscores, and dots]","","Sat May 23 19:34:49 UTC 2026","passed","Sat May 23 19:34:51 UTC 2026","","iteration1.api.CreateUserTest","iteration1.api.CreateUserTest","adminCanCreateUserWithInvalidDataTest"
