"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","0","userCanDepositInvalidMoneyToHisOwnAccountTestV1(double, String)","","Sun May 24 08:43:17 UTC 2026","skipped","Sun May 24 08:43:17 UTC 2026","","iteration2.api.TransferAccountTest","iteration2.api.TransferAccountTest","userCanDepositInvalidMoneyToHisOwnAccountTestV1"
"","7389","userCannotDepositMoneyToNotHisAccountTest()","","Sun May 24 08:42:55 UTC 2026","passed","Sun May 24 08:43:03 UTC 2026","","iteration2.api.DepositAccountTest","iteration2.api.DepositAccountTest","userCannotDepositMoneyToNotHisAccountTest"
"","923","adminCanCreateUserWithInvalidDataTest(String, String, UserRole, String, List) [2] username=ab, password=Password33$, role=USER, errorKey=username, errorValues=[Username must be between 3 and 15 characters]","","Sun May 24 08:43:00 UTC 2026","passed","Sun May 24 08:43:01 UTC 2026","","iteration1.api.CreateUserTest","iteration1.api.CreateUserTest","adminCanCreateUserWithInvalidDataTest"
"","17735","adminCanCreateUserTest()","","Sun May 24 08:43:10 UTC 2026","passed","Sun May 24 08:43:28 UTC 2026","","iteration1.ui.CreateUserTest","iteration1.ui.CreateUserTest","adminCanCreateUserTest"
"","8589","userCanDepositInvalidMoneyToHisOwnAccountTest(double, String) Deposit -5000 should return error: ❌ Please enter a valid amount.","","Sun May 24 08:43:02 UTC 2026","passed","Sun May 24 08:43:10 UTC 2026","","iteration2.ui.DepositAccountTest","iteration2.ui.DepositAccountTest","userCanDepositInvalidMoneyToHisOwnAccountTest"
"","645","adminCanCreateUserWithInvalidDataTest(String, String, UserRole, String, List) [4] username=abc%, password=Password33$, role=USER, errorKey=username, errorValues=[Username must contain only letters, digits, dashes, underscores, and dots]","","Sun May 24 08:43:02 UTC 2026","passed","Sun May 24 08:43:03 UTC 2026","","iteration1.api.CreateUserTest","iteration1.api.CreateUserTest","adminCanCreateUserWithInvalidDataTest"
"","12063","userCanCreateAccountTest()","","Sun May 24 08:43:05 UTC 2026","passed","Sun May 24 08:43:17 UTC 2026","","iteration1.ui.CreateAccountTest","iteration1.ui.CreateAccountTest","userCanCreateAccountTest"
"","17197","AuthUserCanTransferMoneyBetweenHisOwnAccountsTest()","","Sun May 24 08:43:10 UTC 2026","passed","Sun May 24 08:43:28 UTC 2026","","iteration2.ui.TransferAccountTest","iteration2.ui.TransferAccountTest","AuthUserCanTransferMoneyBetweenHisOwnAccountsTest"
"","15605","userCanDepositInvalidMoneyToHisOwnAccountTestV2(double, String) [3] amount=10000.01, errorValue=Transfer amount cannot exceed 10000","","Sun May 24 08:43:10 UTC 2026","passed","Sun May 24 08:43:26 UTC 2026","","iteration2.ui.TransferAccountTest","iteration2.ui.TransferAccountTest","userCanDepositInvalidMoneyToHisOwnAccountTestV2"
"","8547","AuthUserCanTransferMoneyBetweenHisOwnAccountsTest()","","Sun May 24 08:43:13 UTC 2026","passed","Sun May 24 08:43:22 UTC 2026","","iteration2.api.TransferAccountTest","iteration2.api.TransferAccountTest","AuthUserCanTransferMoneyBetweenHisOwnAccountsTest"
