"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","3968","AuthUserCannotUpdateProfileWithInvalidNameTest(String, String) [2] name=John, errorValue=Name must contain two words with letters only","","Sat May 23 15:02:15 UTC 2026","passed","Sat May 23 15:02:19 UTC 2026","","iteration2.api.UpdateProfileTest","iteration2.api.UpdateProfileTest","AuthUserCannotUpdateProfileWithInvalidNameTest"
"","17092","AuthUserCanTransferMoneyToNotHisAccountTest()","","Sat May 23 15:02:08 UTC 2026","passed","Sat May 23 15:02:25 UTC 2026","","iteration2.ui.TransferAccountTest","iteration2.ui.TransferAccountTest","AuthUserCanTransferMoneyToNotHisAccountTest"
"","10058","userCanLoginWithCorrectDataTest()","","Sat May 23 15:02:19 UTC 2026","passed","Sat May 23 15:02:29 UTC 2026","","iteration1.ui.LoginUserTest","iteration1.ui.LoginUserTest","userCanLoginWithCorrectDataTest"
"","13734","userCanDepositInvalidMoneyToHisOwnAccountTestV2(double, String) [1] amount=0.009, errorValue=Invalid transfer: insufficient funds or invalid accounts","","Sat May 23 15:01:58 UTC 2026","passed","Sat May 23 15:02:12 UTC 2026","","iteration2.ui.TransferAccountTest","iteration2.ui.TransferAccountTest","userCanDepositInvalidMoneyToHisOwnAccountTestV2"
"","687","adminCanGenerateAuthTokenTest()","","Sat May 23 15:02:10 UTC 2026","passed","Sat May 23 15:02:11 UTC 2026","","iteration1.api.LoginUserTest","iteration1.api.LoginUserTest","adminCanGenerateAuthTokenTest"
"","5175","userCanDepositInvalidMoneyToHisOwnAccountTestV2(double, String) [3] amount=10000.01, errorValue=Transfer amount cannot exceed 10000","","Sat May 23 15:02:21 UTC 2026","passed","Sat May 23 15:02:26 UTC 2026","","iteration2.api.TransferAccountTest","iteration2.api.TransferAccountTest","userCanDepositInvalidMoneyToHisOwnAccountTestV2"
"","3118","userCannotDepositMoneyToNotExistedAccountTest()","","Sat May 23 15:01:59 UTC 2026","passed","Sat May 23 15:02:02 UTC 2026","","iteration2.api.DepositAccountTest","iteration2.api.DepositAccountTest","userCannotDepositMoneyToNotExistedAccountTest"
"","3164","adminCanCreateUserWithInvalidDataTest(String, String, UserRole, String, List) [1] username=   , password=Password33$, role=USER, errorKey=username, errorValues=[Username cannot be blank, Username must contain only letters, digits, dashes, underscores, and dots]","","Sat May 23 15:02:04 UTC 2026","passed","Sat May 23 15:02:08 UTC 2026","","iteration1.api.CreateUserTest","iteration1.api.CreateUserTest","adminCanCreateUserWithInvalidDataTest"
"","6920","adminCanLoginWithCorrectDataTest()","","Sat May 23 15:02:12 UTC 2026","passed","Sat May 23 15:02:19 UTC 2026","","iteration1.ui.LoginUserTest","iteration1.ui.LoginUserTest","adminCanLoginWithCorrectDataTest"
"","6498","AuthUserCanTransferMoneyBetweenHisOwnAccountsTest()","","Sat May 23 15:02:23 UTC 2026","passed","Sat May 23 15:02:30 UTC 2026","","iteration2.api.TransferAccountTest","iteration2.api.TransferAccountTest","AuthUserCanTransferMoneyBetweenHisOwnAccountsTest"
