"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","7978","userCanDepositInvalidMoneyToHisOwnAccountTest(double, String) Deposit 5000.001 should return error: ❌ Please deposit less or equal to 5000$.","","Sat May 23 16:08:27 UTC 2026","passed","Sat May 23 16:08:35 UTC 2026","","iteration2.ui.DepositAccountTest","iteration2.ui.DepositAccountTest","userCanDepositInvalidMoneyToHisOwnAccountTest"
"","3621","AuthUserCannotUpdateProfileWithInvalidNameTest(String, String) [2] name=John, errorValue=Name must contain two words with letters only","","Sat May 23 16:08:32 UTC 2026","passed","Sat May 23 16:08:36 UTC 2026","","iteration2.api.UpdateProfileTest","iteration2.api.UpdateProfileTest","AuthUserCannotUpdateProfileWithInvalidNameTest"
"","864","adminCanCreateUserWithInvalidDataTest(String, String, UserRole, String, List) [4] username=abc%, password=Password33$, role=USER, errorKey=username, errorValues=[Username must contain only letters, digits, dashes, underscores, and dots]","","Sat May 23 16:08:25 UTC 2026","passed","Sat May 23 16:08:26 UTC 2026","","iteration1.api.CreateUserTest","iteration1.api.CreateUserTest","adminCanCreateUserWithInvalidDataTest"
"","9596","AuthUserCannotUpdateProfileWithSameNameTest()","","Sat May 23 16:08:43 UTC 2026","passed","Sat May 23 16:08:52 UTC 2026","","iteration2.ui.UpdateProfileTest","iteration2.ui.UpdateProfileTest","AuthUserCannotUpdateProfileWithSameNameTest"
"","15269","AuthUserCanTransferMoneyBetweenHisOwnAccountsTest()","","Sat May 23 16:08:33 UTC 2026","passed","Sat May 23 16:08:48 UTC 2026","","iteration2.ui.TransferAccountTest","iteration2.ui.TransferAccountTest","AuthUserCanTransferMoneyBetweenHisOwnAccountsTest"
"","10058","userCanDepositMoneyToHisOwnAccountTest()","","Sat May 23 16:08:17 UTC 2026","passed","Sat May 23 16:08:27 UTC 2026","","iteration2.ui.DepositAccountTest","iteration2.ui.DepositAccountTest","userCanDepositMoneyToHisOwnAccountTest"
"","11229","userCannotDepositMoneyToNotHisAccountTest()","","Sat May 23 16:08:13 UTC 2026","passed","Sat May 23 16:08:24 UTC 2026","","iteration2.ui.DepositAccountTest","iteration2.ui.DepositAccountTest","userCannotDepositMoneyToNotHisAccountTest"
"","10487","adminCannotCreateUserWithInvalidDataTest()","","Sat May 23 16:08:39 UTC 2026","passed","Sat May 23 16:08:50 UTC 2026","","iteration1.ui.CreateUserTest","iteration1.ui.CreateUserTest","adminCannotCreateUserWithInvalidDataTest"
"","0","userCanDepositInvalidMoneyToHisOwnAccountTestV1(double, String)","","Sat May 23 16:08:43 UTC 2026","skipped","Sat May 23 16:08:43 UTC 2026","","iteration2.api.TransferAccountTest","iteration2.api.TransferAccountTest","userCanDepositInvalidMoneyToHisOwnAccountTestV1"
"","6417","userCanDepositMoneyToHisOwnAccountTest()","","Sat May 23 16:08:17 UTC 2026","passed","Sat May 23 16:08:24 UTC 2026","","iteration2.api.DepositAccountTest","iteration2.api.DepositAccountTest","userCanDepositMoneyToHisOwnAccountTest"
"","7008","AuthUserCanTransferMoneyBetweenHisOwnAccountsTest()","","Sat May 23 16:08:42 UTC 2026","passed","Sat May 23 16:08:49 UTC 2026","","iteration2.api.TransferAccountTest","iteration2.api.TransferAccountTest","AuthUserCanTransferMoneyBetweenHisOwnAccountsTest"
